time/total_timesteps,eval/mean_ep_length,eval/mean_reward,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/loss,train/n_updates,train/clip_fraction,train/learning_rate,train/clip_range
253952,18.9,11.348236899999998,,,,,,-8.435581352561712,0.8030773401260376,-0.021717346615514544,3.6466856724582613,0.029200623,0.8261913061141968,300,0.30406494140625,0.0003,0.2
253952,,,18.21,31,5944,42,12.956642940000002,,,,,,,,,,
262144,19.7,18.6219602,,,,,,-8.356934478878975,0.8625426590442657,-0.025121324386418564,3.2464682371821256,0.029797714,0.9687566757202148,310,0.30877685546875,0.0003,0.2
262144,,,15.47,32,6128,42,8.81202615,,,,,,,,,,
270336,19.8,23.9640829,,,,,,-8.24879265204072,0.8554714620113373,-0.024409474535059417,3.3919275443535297,0.028279277,0.8911827206611633,320,0.302490234375,0.0003,0.2
270336,,,14.06,33,6306,42,7.32229813,,,,,,,,,,
278528,20.1,25.9761187,,,,,,-8.175640511140227,0.8535786867141724,-0.02385451017798914,3.3342247475869953,0.03143284,0.9850590229034424,330,0.30858154296875,0.0003,0.2
278528,,,15.61,34,6491,42,10.354881429999999,,,,,,,,,,
286720,17.1,14.7967388,,,,,,-8.026323849707842,0.8491333425045013,-0.024254695223862654,2.924142568744719,0.033449065,0.8778197765350342,340,0.325732421875,0.0003,0.2
286720,,,15.98,35,6675,42,10.697846749999998,,,,,,,,,,
294912,21.3,10.386719699999999,,,,,,-7.953300918638706,0.8507227152585983,-0.026729004216758768,3.2795047806575894,0.035730705,0.626895546913147,350,0.31798095703125,0.0003,0.2
294912,,,15.59,36,6848,43,11.364909410000001,,,,,,,,,,
303104,18.5,18.595101899999996,,,,,,-7.860383263975382,0.8459596484899521,-0.02383560647795093,3.0853067469783126,0.03625985,0.8887135982513428,360,0.3166015625,0.0003,0.2
303104,,,16.69,37,7016,43,10.27256212,,,,,,,,,,
311296,17.1,8.644973199999999,,,,,,-7.790080817043782,0.8583667874336243,-0.02705121585386223,2.9037698306143285,0.034231737,0.7706291675567627,370,0.323974609375,0.0003,0.2
311296,,,16.45,38,7199,43,10.77342836,,,,,,,,,,
319488,17.7,10.499450999999997,,,,,,-7.6372545216232535,0.8564471900463104,-0.025605849723069694,2.7911364598665385,0.033427853,0.6780843734741211,380,0.320068359375,0.0003,0.2
319488,,,15.95,39,7375,43,11.09225586,,,,,,,,,,
327680,20.5,26.2922083,,,,,,-7.583576419949532,0.8546315729618073,-0.022152034544342315,3.501616440387443,0.03226425,0.8221428394317627,390,0.302490234375,0.0003,0.2
327680,,,17.0,40,7549,43,11.006409750000003,,,,,,,,,,
335872,12.1,6.385943500000001,,,,,,-7.505147016420961,0.8745507746934891,-0.02473868852266605,2.992944643087685,0.032605767,0.6958962678909302,400,0.31568603515625,0.0003,0.2
335872,,,16.59,41,7723,43,10.06345077,,,,,,,,,,
344064,16.4,7.5024974,,,,,,-7.511337411031127,0.8664980232715607,-0.02696861418080516,2.5044138407800345,0.033279873,0.8411107659339905,410,0.32528076171875,0.0003,0.2
344064,,,14.53,42,7905,43,7.4383948,,,,,,,,,,
352256,18.1,21.524521400000005,,,,,,-7.3646703403443095,0.8705352991819382,-0.030301520724606235,2.923764254478738,0.034845784,0.9103963375091553,420,0.32587890625,0.0003,0.2
352256,,,16.79,43,8086,43,14.30702528,,,,,,,,,,
360448,18.5,12.404606800000002,,,,,,-7.26668799482286,0.8565418720245361,-0.025762122950254707,2.6041051452048123,0.036096517,0.5552643537521362,430,0.3172119140625,0.0003,0.2
360448,,,14.95,44,8268,43,13.24913867,,,,,,,,,,
368640,16.0,19.4572968,,,,,,-7.1105077177286145,0.8836286589503288,-0.032021835388877665,2.5734375548083337,0.04992739,0.6735958456993103,440,0.3249267578125,0.0003,0.2
368640,,,15.61,45,8481,43,8.71456369,,,,,,,,,,
376832,20.4,19.463275900000003,,,,,,-7.1904012959450485,0.8666982799768448,-0.029439121876930586,2.7601098459213973,0.038699504,0.9404101371765137,450,0.325537109375,0.0003,0.2
376832,,,15.72,46,8676,43,10.04119982,,,,,,,,,,
385024,16.5,21.344139700000003,,,,,,-7.033669825270772,0.873796671628952,-0.028410822176738293,2.8116464361548426,0.032551546,1.7509912252426147,460,0.31602783203125,0.0003,0.2
385024,,,17.29,47,8860,43,12.723421150000002,,,,,,,,,,
393216,13.8,14.8457279,,,,,,-7.020622659102083,0.8656874150037766,-0.028314473210775758,2.673235149169341,0.0373212,0.6493203639984131,470,0.3242431640625,0.0003,0.2
393216,,,16.56,48,9037,43,11.38609224,,,,,,,,,,
401408,18.8,21.564218899999997,,,,,,-6.699170124158263,0.88877122849226,-0.029920432544167853,2.7830091585870833,0.036080375,2.1946914196014404,480,0.33507080078125,0.0003,0.2
401408,,,17.36,49,9229,43,12.82894111,,,,,,,,,,
409600,16.3,9.7660742,,,,,,-6.711989330127835,0.8833300620317459,-0.02700076851688209,2.411889458820224,0.03707739,0.47297918796539307,490,0.34046630859375,0.0003,0.2
409600,,,16.89,50,9419,43,11.137185319999999,,,,,,,,,,
417792,18.5,17.095770400000003,,,,,,-6.692777840420604,0.8570389300584793,-0.029062146661817678,2.6163674901705236,0.041595425,0.8267481923103333,500,0.32178955078125,0.0003,0.2
417792,,,17.25,51,9607,43,16.72740475,,,,,,,,,,
425984,17.6,20.8452481,,,,,,-6.557829062640667,0.8978781029582024,-0.030161397498523,2.204187073931098,0.040729336,0.9231658577919006,510,0.34180908203125,0.0003,0.2
425984,,,16.15,52,9804,43,10.912086269999998,,,,,,,,,,
434176,14.2,10.607595499999999,,,,,,-6.444514179974794,0.8814699351787567,-0.028388164853822673,2.5200413077138366,0.035874814,0.6214858889579773,520,0.3359619140625,0.0003,0.2
434176,,,17.66,53,10004,43,13.315190190000001,,,,,,,,,,
442368,15.9,16.489325,,,,,,-6.372263225167989,0.8891180828213692,-0.027070643451588695,2.2199341922067104,0.036252692,0.9254874587059021,530,0.33170166015625,0.0003,0.2
442368,,,17.95,54,10190,43,12.688446009999998,,,,,,,,,,
450560,16.6,16.285812999999997,,,,,,-6.385570303723216,0.885050967335701,-0.029740906303231895,2.3288304053246973,0.043363314,0.844931423664093,540,0.32608642578125,0.0003,0.2
450560,,,16.83,55,10394,43,13.1444622,,,,,,,,,,
458752,18.5,16.2975984,,,,,,-6.2359098948538305,0.892840065062046,-0.02902532422776858,2.1464691635686903,0.039977055,0.3119203448295593,550,0.32513427734375,0.0003,0.2
458752,,,16.05,56,10592,43,12.12304801,,,,,,,,,,
466944,18.6,18.484636799999997,,,,,,-6.1321373105049135,0.8768169656395912,-0.02948602009964816,2.6506139408797025,0.039948232,0.9067619442939758,560,0.3185546875,0.0003,0.2
466944,,,18.32,57,10768,43,12.901785749999998,,,,,,,,,,
475136,18.5,18.054884100000002,,,,,,-6.14204461760819,0.8969133347272873,-0.03257262577499205,2.399595495592803,0.03931937,0.48984965682029724,570,0.323388671875,0.0003,0.2
475136,,,17.45,58,10948,43,14.670264340000001,,,,,,,,,,
483328,17.8,20.666200800000002,,,,,,-5.950002174451948,0.8805796280503273,-0.028721358532857268,2.484507123148069,0.03651523,0.8739413619041443,580,0.32711181640625,0.0003,0.2
483328,,,16.37,59,11134,43,15.72587192,,,,,,,,,,
491520,14.7,6.563605999999998,,,,,,-5.901019260287285,0.8671740293502808,-0.026788934938667807,2.5486486224923284,0.040318154,0.48622429370880127,590,0.32840576171875,0.0003,0.2
491520,,,17.45,60,11313,43,15.66258769,,,,,,,,,,
499712,18.4,19.0040866,,,,,,-5.8351643197238445,0.8647488355636597,-0.027124022434145446,2.666461875429377,0.038243845,0.5150216221809387,600,0.32476806640625,0.0003,0.2
499712,,,17.56,61,11497,43,14.252898290000001,,,,,,,,,,
507904,14.8,2.8581016,,,,,,-5.820816278457642,0.895569458603859,-0.029719968899007652,2.306513436511159,0.041638967,1.2792521715164185,610,0.33226318359375,0.0003,0.2
507904,,,16.43,62,11685,43,13.91743294,,,,,,,,,,
