policy,episode,total_reward,final_cognitive_metric,cognitive_metric_change,episode_length
PPO,81,32.58166327835887,3.027845621109009,1.5038455724716187,22
PPO,82,21.996417057068918,0.9212289452552795,0.9332289695739746,22
PPO,83,37.041954674460655,2.7527525424957275,1.635752558708191,22
PPO,84,11.810269068756995,1.661067247390747,0.5010672807693481,20
PPO,85,48.342204729387326,2.573363780975342,2.070363759994507,22
PPO,86,33.08574531596524,2.3497092723846436,1.4037092924118042,22
PPO,87,34.544877530945804,2.5665948390960693,1.4735947847366333,22
PPO,88,25.995812293727294,1.2649089097976685,1.1029088497161865,22
PPO,89,25.888342044709365,3.0123493671417236,1.0983493328094482,22
PPO,90,19.307638485339655,-0.4148462414741516,0.8191537261009216,12
PPO,91,10.125350456887483,-0.32041776180267334,0.42958223819732666,22
PPO,92,14.180885998209849,1.6316440105438232,0.6016440391540527,18
