time/episodes,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_ep_length,eval/mean_reward,train/ent_coef,train/n_updates,train/critic_loss,train/learning_rate,train/actor_loss
904,14,124,1773,-8.97173997,1.83,,,,,,,
908,14,124,1785,-9.403538,1.87,,,,,,,
912,14,124,1799,-9.29562099,1.93,,,,,,,
916,14,123,1812,-9.103977680000002,2.01,,,,,,,
920,14,123,1820,-9.123098879999999,2.02,,,,,,,
924,14,123,1827,-9.25807826,2.0,,,,,,,
928,14,123,1837,-9.07978241,2.06,,,,,,,
932,14,123,1842,-8.973400519999998,2.05,,,,,,,
936,14,123,1848,-8.894617669999999,2.02,,,,,,,
940,15,123,1858,-8.95072583,2.08,,,,,,,
944,15,123,1865,-9.04890477,2.01,,,,,,,
948,15,124,1871,-9.007399730000001,2.01,,,,,,,
952,15,124,1879,-9.13494571,2.03,,,,,,,
956,15,124,1888,-9.0833528,2.07,,,,,,,
960,15,124,1898,-9.03053793,2.09,,,,,,,
964,15,124,1904,-8.92388728,2.09,,,,,,,
968,15,124,1914,-8.795415799999999,2.15,,,,,,,
972,15,124,1922,-8.933849040000002,2.05,,,,,,,
976,15,124,1928,-8.89404399,2.05,,,,,,,
980,15,123,1937,-8.62022255,2.07,,,,,,,
984,15,124,1945,-8.68992988,2.08,,,,,,,
988,15,124,1952,-8.79636393,2.02,,,,,,,
992,15,124,1958,-8.75019824,2.04,,,,,,,
996,15,124,1965,-8.800169149999999,2.04,,,,,,,
1000,15,124,1973,-8.60267445,2.06,,,,,,,
1004,15,124,1979,-8.60924495,2.06,,,,,,,
1008,15,124,1984,-8.261193610000001,1.99,,,,,,,
1012,15,124,1990,-8.38331827,1.91,,,,,,,
1016,16,124,2000,-8.60514272,1.88,,,,,,,
1020,16,124,2009,-8.533943590000002,1.89,,,,,,,
1024,16,124,2026,-8.44954163,1.99,,,,,,,
1028,16,124,2034,-8.646728900000001,1.97,,,,,,,
1032,16,124,2044,-8.72778778,2.02,,,,,,,
1036,16,124,2050,-8.82568584,2.02,,,,,,,
1040,16,124,2059,-8.77280012,2.01,,,,,,,
1044,16,124,2067,-8.8027913,2.02,,,,,,,
1048,16,124,2075,-8.64887446,2.04,,,,,,,
1052,16,124,2079,-8.73848818,2.0,,,,,,,
1056,16,124,2087,-8.720591310000001,1.99,,,,,,,
1060,16,124,2094,-8.738030280000002,1.96,,,,,,,
1064,16,124,2103,-8.73439068,1.99,,,,,,,
1068,16,124,2109,-8.78866009,1.95,,,,,,,
1072,16,124,2118,-8.81703274,1.96,,,,,,,
1076,16,125,2124,-8.97632956,1.96,,,,,,,
1080,17,125,2131,-9.180125310000001,1.94,,,,,,,
1084,17,125,2140,-8.86036441,1.95,,,,,,,
1088,17,125,2145,-8.82414964,1.93,,,,,,,
1092,17,125,2155,-8.84058765,1.97,,,,,,,
1096,17,125,2159,-8.957317,1.94,,,,,,,
1100,17,125,2168,-8.989298680000001,1.95,,,,,,,
1104,17,125,2177,-9.05417184,1.98,,,,,,,
1108,17,125,2183,-9.09703529,1.99,,,,,,,
1112,17,125,2188,-9.140818260000001,1.98,,,,,,,
1116,17,125,2193,-9.16454842,1.93,,,,,,,
1120,17,125,2197,-9.24198748,1.88,,,,,,,
1124,17,125,2205,-9.07200257,1.79,,,,,,,
1128,17,125,2214,-9.147335439999999,1.8,,,,,,,
1132,17,125,2220,-9.09863728,1.76,,,,,,,
1136,17,126,2227,-9.01102291,1.77,,,,,,,
1140,17,125,2241,-9.06988205,1.82,,,,,,,
1144,17,126,2250,-9.052241590000001,1.83,,,,,,,
1148,17,126,2263,-8.97026314,1.88,,,,,,,
1152,18,126,2271,-8.944460809999999,1.92,,,,,,,
1156,18,126,2277,-9.07876501,1.9,,,,,,,
1160,18,126,2284,-9.16896241,1.9,,,,,,,
1164,18,126,2291,-9.17876455,1.88,,,,,,,
1168,18,126,2304,-9.065829899999999,1.95,,,,,,,
1172,18,126,2312,-8.87414085,1.94,,,,,,,
1176,18,126,2321,-8.864488309999999,1.97,,,,,,,
1180,18,126,2325,-8.95812195,1.94,,,,,,,
1184,18,126,2329,-9.259624670000001,1.89,,,,,,,
1188,18,126,2339,-9.13310702,1.94,,,,,,,
1192,18,126,2347,-9.116991,1.92,,,,,,,
1196,18,125,2357,-9.007042689999999,1.98,,,,,,,
1200,18,125,2364,-8.909217420000001,1.96,,,,,,,
1204,18,125,2374,-8.82945402,1.97,,,,,,,
1208,18,125,2380,-8.898125530000002,1.97,,,,,,,
1212,18,126,2384,-8.84799739,1.96,,,,,,,
1216,18,126,2395,-8.719628880000002,2.02,,,,,,,
1220,19,126,2401,-8.71901993,2.04,,,,,,,
1224,19,126,2408,-8.905249079999999,2.03,,,,,,,
1228,19,126,2413,-8.800956150000001,1.99,,,,,,,
1232,19,126,2420,-8.877970959999999,2.0,,,,,,,
1236,19,126,2427,-8.82569105,2.0,,,,,,,
1240,19,126,2434,-8.678489110000001,1.93,,,,,,,
1244,19,126,2442,-8.61165725,1.92,,,,,,,
1248,19,126,2455,-9.06250291,1.92,,,,,,,
1252,19,126,2462,-9.17716879,1.91,,,,,,,
1256,19,126,2469,-9.115389550000002,1.92,,,,,,,
1260,19,126,2477,-9.059450530000001,1.93,,,,,,,
1264,19,126,2485,-9.041637900000001,1.94,,,,,,,
1268,19,126,2491,-9.17572633,1.87,,,,,,,
1272,19,126,2498,-9.09186872,1.86,,,,,,,
1276,19,126,2506,-8.99073152,1.85,,,,,,,
1280,19,126,2510,-8.99073152,1.85,,,,,,,
1284,19,126,2515,-8.97863644,1.86,,,,,,,
1288,19,126,2519,-9.079166800000001,1.8,,,,,,,
1292,19,127,2524,-9.07480267,1.77,,,,,,,
1296,19,127,2535,-9.2683281,1.78,,,,,,,
1300,20,127,2541,-9.41039245,1.77,,,,,,,
1304,20,127,2547,-9.475996349999999,1.73,,,,,,,
1308,20,126,2555,-9.285233689999998,1.75,,,,,,,
1312,20,126,2563,-9.212822910000002,1.79,,,,,,,
1316,20,126,2569,-9.23282085,1.74,,,,,,,
1320,20,126,2584,-9.04918707,1.83,,,,,,,
1324,20,126,2589,-9.07406052,1.81,,,,,,,
1328,20,126,2594,-9.05421764,1.81,,,,,,,
1332,20,126,2601,-8.80847605,1.81,,,,,,,
1336,20,126,2606,-8.74257356,1.79,,,,,,,
1340,20,126,2616,-8.78673662,1.82,,,,,,,
1344,20,126,2626,-8.945756679999999,1.84,,,,,,,
1348,20,126,2636,-8.70286659,1.81,,,,,,,
1352,20,126,2642,-8.60840563,1.8,,,,,,,
1356,20,126,2649,-8.49570929,1.8,,,,,,,
1360,20,126,2656,-8.555986039999999,1.79,,,,,,,
1364,21,126,2667,-8.49104117,1.82,,,,,,,
1368,21,126,2679,-8.473898350000002,1.88,,,,,,,
1372,21,126,2689,-8.6195354,1.91,,,,,,,
1376,21,126,2696,-8.66508065,1.9,,,,,,,
1380,21,126,2703,-8.50354995,1.93,,,,,,,
1384,21,126,2709,-8.51275098,1.94,,,,,,,
1388,21,126,2714,-8.45347576,1.95,,,,,,,
1392,21,126,2723,-8.544664599999999,1.99,,,,,,,
1396,21,126,2730,-8.408378200000001,1.95,,,,,,,
1400,21,126,2741,-8.38771712,2.0,,,,,,,
1404,21,126,2745,-8.44102655,1.98,,,,,,,
1408,21,127,2750,-8.58116431,1.95,,,,,,,
1412,21,127,2757,-8.59512836,1.94,,,,,,,
1416,21,127,2764,-8.60101072,1.95,,,,,,,
1420,21,127,2771,-8.62322619,1.87,,,,,,,
1424,21,127,2776,-8.45014798,1.87,,,,,,,
1428,21,127,2785,-8.497312489999999,1.91,,,,,,,
1432,21,127,2795,-8.66923903,1.94,,,,,,,
1436,21,127,2800,-8.83502276,1.94,,,,,,,
1440,22,127,2808,-8.804342799999999,1.92,,,,,,,
1444,22,127,2814,-8.6682246,1.88,,,,,,,
1448,22,127,2824,-8.436657340000002,1.88,,,,,,,
1452,22,127,2832,-8.506102750000002,1.9,,,,,,,
1456,22,127,2837,-8.647593650000001,1.88,,,,,,,
1460,22,127,2845,-8.53178043,1.89,,,,,,,
1464,22,127,2852,-8.77371385,1.85,,,,,,,
1468,22,127,2857,-8.84695656,1.78,,,,,,,
1472,22,127,2862,-8.85718393,1.73,,,,,,,
1476,22,127,2871,-8.85769245,1.75,,,,,,,
1480,22,127,2878,-8.927435350000001,1.75,,,,,,,
1484,22,127,2884,-8.953022890000002,1.75,,,,,,,
1488,22,127,2893,-9.1931504,1.79,,,,,,,
1492,22,127,2900,-9.072720290000001,1.77,,,,,,,
1496,22,127,2908,-9.178318979999998,1.78,,,,,,,
1500,22,128,2915,-9.07613064,1.74,,,,,,,
1504,22,128,2919,-9.07613064,1.74,,,,,,,
1508,22,128,2925,-8.944742530000001,1.75,,,,,,,
1512,22,128,2930,-9.01355657,1.73,,,,,,,
1516,22,128,2935,-9.061383760000002,1.71,,,,,,,
1520,23,128,2949,-9.35094909,1.78,,,,,,,
1524,23,128,2956,-9.365646539999998,1.8,,,,,,,
1528,23,126,2970,-9.21553035,1.85,,,,,,,
1532,23,126,2980,-9.03389445,1.85,,,,,,,
1536,23,126,2988,-9.0608851,1.88,,,,,,,
1540,23,126,2993,-9.1278182,1.85,,,,,,,
1544,23,126,3006,-9.32612803,1.92,,,,,,,
1548,23,126,3013,-9.462190810000001,1.89,,,,,,,
1552,23,126,3018,-9.4128884,1.86,,,,,,,
1556,23,126,3024,-9.36799792,1.87,,,,,,,
1560,23,126,3035,-9.51796743,1.9,,,,,,,
1564,23,126,3041,-9.37835421,1.89,,,,,,,
1568,24,126,3048,-9.38960292,1.91,,,,,,,
1572,24,127,3052,-9.41843252,1.9,,,,,,,
1576,24,127,3059,-9.22562141,1.88,,,,,,,
1580,24,127,3064,-9.268973070000001,1.86,,,,,,,
1584,24,127,3073,-9.23120022,1.89,,,,,,,
1588,24,127,3079,-8.998065099999998,1.86,,,,,,,
1592,24,127,3087,-9.0396796,1.87,,,,,,,
1596,24,127,3096,-8.9348365,1.88,,,,,,,
1600,24,127,3103,-9.15662029,1.88,,,,,,,
1604,24,127,3114,-9.31711136,1.95,,,,,,,
1608,24,126,3130,-9.52524093,2.05,,,,,,,
1612,24,127,3138,-9.52448238,2.08,,,,,,,
1616,24,127,3152,-9.484472830000001,2.17,,,,,,,
1620,24,127,3157,-9.36209216,2.08,,,,,,,
1624,24,127,3162,-9.447394710000001,2.06,,,,,,,
1628,24,127,3172,-9.51150668,2.02,,,,,,,
1632,24,127,3181,-9.77283013,2.01,,,,,,,
1636,25,127,3187,-9.63577826,1.99,,,,,,,
1640,25,127,3193,-9.5729697,2.0,,,,,,,
1644,25,127,3202,-9.304013509999999,1.96,,,,,,,
1648,25,127,3209,-9.47049525,1.96,,,,,,,
1652,25,127,3223,-9.258828090000002,2.05,,,,,,,
1656,25,127,3228,-9.28404256,2.04,,,,,,,
1660,25,127,3239,-9.1273178,2.04,,,,,,,
1664,25,127,3248,-9.179997149999998,2.07,,,,,,,
1668,25,127,3256,-8.9995616,2.08,,,,,,,
1672,25,127,3265,-8.86469357,2.13,,,,,,,
1676,25,127,3270,-9.045504549999999,2.11,,,,,,,
1680,25,127,3281,-8.90631262,2.17,,,,,,,
1684,25,127,3290,-8.796413950000002,2.17,,,,,,,
1688,25,127,3299,-8.83668221,2.2,,,,,,,
1692,26,125,3317,-9.00184297,2.3,,,,,,,
1696,26,125,3326,-9.0759422,2.3,,,,,,,
1700,26,125,3339,-8.84036908,2.36,,,,,,,
1704,26,125,3347,-8.73775938,2.33,,,,,,,
1708,26,125,3353,-8.65903301,2.23,,,,,,,
1712,26,125,3361,-8.76550122,2.23,,,,,,,
1716,26,125,3370,-8.95789771,2.18,,,,,,,
1720,26,125,3376,-8.87368346,2.19,,,,,,,
1724,26,125,3381,-8.86337521,2.19,,,,,,,
1728,27,125,3388,-8.86516896,2.16,,,,,,,
1732,27,125,3394,-8.72668407,2.13,,,,,,,
1736,27,124,3408,-8.66938796,2.21,,,,,,,
1740,27,123,3413,-8.71488418,2.2,,,,,,,
1744,27,123,3423,-8.71777058,2.21,,,,,,,
1748,27,123,3435,-8.560409709999998,2.26,,,,,,,
1752,27,123,3443,-8.58446309,2.2,,,,,,,
1756,27,123,3450,-8.48322298,2.22,,,,,,,
1760,27,123,3457,-8.63023528,2.18,,,,,,,
1764,28,123,3464,-8.55459725,2.16,,,,,,,
1768,28,123,3473,-8.7544879,2.17,,,,,,,
1772,28,123,3484,-9.149448119999999,2.19,,,,,,,
1776,28,123,3492,-9.094067669999998,2.22,,,,,,,
1780,28,123,3498,-9.24510826,2.17,,,,,,,
1784,28,123,3509,-9.103791419999999,2.19,,,,,,,
1788,28,123,3513,-9.11580599,2.14,,,,,,,
1792,28,123,3518,-8.992543269999999,2.01,,,,,,,
1796,28,123,3523,-8.96489906,1.97,,,,,,,
1800,28,123,3531,-9.11445786,1.92,,,,,,,
1804,28,123,3543,-9.04043562,1.96,,,,,,,
1808,28,123,3550,-8.890079340000002,1.97,,,,,,,
1812,28,123,3554,-8.77400237,1.93,,,,,,,
1816,28,123,3558,-8.65201273,1.88,,,,,,,
1820,28,124,3563,-8.73428767,1.87,,,,,,,
1824,28,124,3570,-8.852954339999998,1.89,,,,,,,
1828,28,124,3575,-8.90252738,1.87,,,,,,,
1832,28,124,3583,-8.873788869999998,1.89,,,,,,,
1836,28,124,3589,-8.963132309999999,1.81,,,,,,,
1840,29,123,3599,-8.863986,1.86,,,,,,,
1844,29,123,3611,-8.931678530000001,1.88,,,,,,,
1848,29,123,3617,-9.04780059,1.82,,,,,,,
1852,29,122,3638,-9.14070427,1.95,,,,,,,
1856,29,122,3643,-9.22642346,1.93,,,,,,,
1860,29,121,3648,-9.20449077,1.91,,,,,,,
1864,29,121,3657,-9.184858570000001,1.93,,,,,,,
1868,30,121,3664,-9.062489849999999,1.91,,,,,,,
1872,30,121,3669,-8.74255012,1.85,,,,,,,
1876,30,121,3677,-8.65673168,1.85,,,,,,,
1880,30,122,3682,-8.67588868,1.84,,,,,,,
1884,30,122,3688,-8.88460829,1.79,,,,,,,
1888,30,122,3694,-8.843838869999999,1.81,,,,,,,
1892,30,122,3699,-8.80581337,1.81,,,,,,,
1896,30,122,3706,-8.83276148,1.83,,,,,,,
1900,30,122,3714,-8.78952026,1.83,,,,,,,
1904,30,122,3724,-8.769798749999998,1.81,,,,,,,
1908,30,122,3731,-8.903103589999999,1.81,,,,,,,
1912,30,122,3739,-8.856351219999999,1.85,,,,,,,
1916,30,122,3751,-8.627457299999998,1.93,,,,,,,
1920,30,122,3755,-8.62423921,1.92,,,,,,,
1924,30,122,3761,-8.62029879,1.91,,,,,,,
1928,30,122,3772,-8.70693125,1.97,,,,,,,
1932,31,122,3792,-8.68792851,2.09,,,,,,,
1936,31,122,3800,-8.612196860000001,2.11,,,,,,,
1940,31,122,3805,-8.70095664,2.06,,,,,,,
1944,31,122,3814,-8.55128201,2.03,,,,,,,
1948,31,122,3818,-8.55899449,2.01,,,,,,,
